,sentences
651,One person who is practicing snowboarding jumps into the air
652,A person who is practicing snowboarding jumps into the air
653,A person who is practicing snowboarding falls from the air
654,A practicing jumper is tossing a person's snowboard into the air
655,The snowboarder is leaping fearlessly over white snow
656,The snowboarder is leaping over white snow
657,The snowboarder isn't leaping over white snow
658,A leap over white snow is greatly appealing to the snowboarders
659,"A dog is near a ball colored in red, which is in the air"
660,A dog is near the red ball in the air
661,A dog is far from the red ball in the air
662,A dog is jumping in the air to catch a red ball
663,"A dog, which is small, is playing tirelessly on the green grass"
664,"A dog, which is small, is playing on the green grass"
665,"A dog, which is small, is running out of the green grass"
666,A small kid is playing with a green toy dog on the grass
667,The person is riding a motorbike on a sandy track
668,The person is riding a motorbike on a track on the sand
669,The person isn't riding a motorbike on a sandy track
670,A motorbike rider is jumping over a person on a sandy track
671,A man is riding a motorbike in the event related to motocross
672,A person is riding a motorbike in the event related to motocross
673,There is no person riding a motorbike in the event related to motocross
674,A motocross rider is giving a motorbike to a person at an event
675,A pink shirt with white writing on it is being worn by a girl who is lying in the grass
676,A girl is wearing a pink shirt with white writing on it and is lying in the grass
677,A girl is naked and is standing on the grass
678,The young girl with a shirt dyed pink is peacefully lying on the grass
679,The young girl with a pink shirt is peacefully lying on the grass
680,The young girl with a pink shirt isn't peacefully lying on the grass
681,The young peaceful girl is lying about the grass found in the pink shirt
682,A dog of large size is running on the grass with a tennis ball in its mouth
683,A large dog is running on the grass with a tennis ball in its mouth
684,There is no large dog running on the grass with a tennis ball in its mouth
685,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth
686,"A dog, which is large and gray, is difficultly carrying a ball in its mouth and running across the grass"
687,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass"
688,"A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass"
689,"A large, gray ball is hitting a running dog, which is carrying some grass in its mouth"
690,A man is opening a package that contains headphones
691,A man who is wearing headphones is opening a package 
692,A woman is riding a brown horse
693,A woman is riding a horse
694,There is no woman riding a horse
695,A man is opening a small package that contains headphones
696,A man is opening a package that doesn't contain headphones
697,A man is singing and playing the guitar
698,A man is singing a song and playing the guitar
699,There is no man singing and playing the guitar
700,A dog is riding a skateboard
701,An animal is riding a skateboard
702,There is no dog riding a skateboard
703,A sea turtle is hunting for fish
704,A sea turtle is hunting for food
705,A sea turtle is not hunting for fish
706,A fish is hunting for a turtle in the sea
707,The turtle is following the red fish
708,The turtle is following the fish
709,The turtle isn't following the fish
710,The fish is following the turtle
711,A man is driving a car
712,The car is being driven by a man
713,There is no man driving the car
714,A woman is dipping a prawn in batter
